CaseID,Organization,Use Case Title,Description,Org Industry,Use Case Industry,Subindustry Tags,Use Case Domain,Tool/Technology,Outcomes & Benefits,Source URL,Source,From,Reason Excluded,Status
aicase-x0001,"Carey International, Inc.",Application Modernization Journey,"Carey International, Inc. transitioned from legacy systems to a modern cloud architecture by migrating its applications to IBM WebSphere Liberty on Red Hat OpenShift and AWS. The integration of IBM Instana provided real-time observability, enabling the identification of performance bottlenecks and operational issues during the migration process. Since the modernization in May 2023, Carey has achieved near-zero downtime and improved performance and reliability metrics compared to their previous on-premise systems.",Transportation & Logistics,,,IT & Platform Operations,IBM WebSphere Liberty ; IBM Instana ; Red Hat OpenShift ; Oracle Cloud Infrastructure,"
• Nearly zero unplanned or planned downtime since migration
• Performance and reliability exceed on
• premise system metrics
• Simple, fast, and non
• disruptive releases into the cloud platform",https://www.ibm.com/case-studies/carey-international,IBM,"v2, v3",Not truly AI,Excluded
aicase-x0002,IBM,Cognitive Pricing Analytics,"The Cognitive Pricing Analytics solution aids IBM sellers and Business Partners in predicting optimal prices for IBM Hardware and Software products based on customer data and market conditions. By utilizing machine learning models and historical transactional data, the solution provides optimized pricing recommendations that integrate seamlessly into sales workflows, significantly reducing approval times and enhancing pricing accuracy.",Technology,,,Sales & Revenue,Cognitive Pricing Analytics ; watsonx ; watsonx.governance,"
• Optimized pricing approvals within minutes
• Reduced approval layers for faster deal closures
• Enhanced accuracy in pricing predictions",https://www.ibm.com/case-studies/cio-cognitive-pricing-analytics,IBM,"v2, v3",Not truly AI,Excluded
aicase-x0003,CrÃ©dit Mutuel ArkÃ©a,Application Performance Monitoring,"CrÃ©dit Mutuel ArkÃ©a modernized its application performance management by adopting IBM Instana Observability to improve monitoring capabilities for 14,000 application instances. The transition aimed to foster collaboration between development and operations teams, enhancing application stability and providing key insights to business teams.",Financial Services,,,IT & Platform Operations,IBMÂ® InstanaÂ® Observability,"
• Improved application performance management for 14,000 instances
• Increased APM usage from 20 to 275 weekly users
• Achieved several hundred daily connections to the monitoring tool",https://www.ibm.com/case-studies/credit-mutuel-arkea,IBM,"v2, v3",Not truly AI,Excluded
aicase-x0004,Damen Services,Optimizing Vessel Management with IBM Maximo and LAMA Empowerz,"Damen Services implemented the IBM Maximo Application Suite, in collaboration with LAMA Empowerz, to centralize vessel configuration data and improve maintenance services. This digitalization effort supports consistent data management across the organization and enables proactive client engagements for replacement parts and services. The integration also enhances the company's ability to predict maintenance needs and improve customer relationships.",Manufacturing,,,Data & Analytics,IBM Maximo Application Suite,"
• Managed configurations for more than 2,700 vessels
• Increased accuracy of asset management
• Created opportunities for additional service offerings",https://www.ibm.com/case-studies/damen-services,IBM,"v2, v3",Not truly AI,Excluded
aicase-x0005,ELPEDISON S.A.,Enterprise Data Management Implementation,"ELPEDISON S.A. partnered with Performance Technologies to implement an Enterprise Data Management Framework using IBM Cloud Pak for Data and IBM Knowledge Catalog. This initiative centralized data from 30,000 database tables and established data governance principles, enhancing operational efficiencies and decision-making across business units.",Energy & Utilities,,,Data & Analytics,IBM Knowledge Catalog,"
• Centralized 30,000 database tables
• Improved decision
• making and operational efficiency
• Enhanced customer service processes
• Increased trust in data
• Support for compliance with GDPR and EU regulations",https://www.ibm.com/case-studies/elpedison,IBM,"v2, v3",Not truly AI,Excluded
aicase-x0006,FlightSafety International,FlightSmart Adaptive Learning Technology,"FlightSafety International partnered with IBM to develop FlightSmart, an adaptive learning technology that integrates with flight simulators to optimize pilot training. By monitoring 4,000+ performance variables in real time, FlightSmart provides data-driven insights to customize training based on pilots' skills and styles, improving training efficiency and reducing errors. This innovative approach aims to meet the aviation industry's need for an additional 637,000 pilots by 2021.",Transportation & Logistics,,,Education & Training,IBM Garage ; FlightSafety FS1000,"
• Speeds training throughput to help meet the predicted need for 637,000 new pilots by 2021
• Reduces student attrition and instructor burden
• Predicts aviator success, potentially saving millions in training investments",https://www.ibm.com/case-studies/flightsafety,IBM,"v2, v3",Not truly AI,Excluded
aicase-x0007,IBM Global Chief Data Office,Data Movement Modernization with IBM Cloud Pak for Data,"The IBM Global Chief Data Office modernized its data movement strategy by leveraging the IBM Cloud Pak for Data solution, specifically using DataStage technology. This allowed for the rapid ingestion of vast data sets with error-free stability, reducing data load times significantly from weeks to hours.",Technology,,,Data & Analytics,IBM Cloud Pak for Data ; DataStage ; IBM Watson Studio,"
• Initial Data Load time reduced from 3 days to 3 hours
• Error
• free data movement of hundreds of data tables
• Data ingestion of huge tables completed in hours instead of days",https://www.ibm.com/case-studies/ibm-global-chief-data-office-data-movement,IBM,"v2, v3",Not truly AI,Excluded
aicase-x0008,Roma Capitale,Optimizing IT Infrastructure with IBM Turbonomic,"Roma Capitale, the municipal government of Rome, sought to optimize its IT infrastructure to ensure positive end-user experiences for its 2.87 million citizens. By implementing IBM Turbonomic, they achieved continuous performance assurance and full-stack visibility, allowing proactive management of resources and minimizing costs.",Government & Public Sector,,,IT & Platform Operations,IBM Turbonomic,"
• 15% reduction in RAM and CPU usage
• 10% hardware cost reduction",https://www.ibm.com/case-studies/roma-capitale,IBM,"v2, v3",Not truly AI,Excluded
aicase-x0009,STC group,Hybrid Cloud Transformation with IBM,"stc group partnered with IBM to implement a dynamic hybrid cloud foundation, aimed at automating operations, optimizing costs, and accelerating digital transformation. The initiative included application cloudification, infrastructure cost optimization, and developing a disaster recovery framework, underpinned by platform engineering principles for scalability and resilience.",Telecommunications,,,IT & Platform Operations,IBM Consulting ; DevSecOps ; AIOps ; FinOps,"
• Enhanced cloud maturity
• Optimized CapEx and OpEx
• Improved business continuity for mission
• critical applications
• Achieved multicloud connectivity across three hyperscalers
• Generated revenue exceeding SAR 75.89 billion in 2024",https://www.ibm.com/case-studies/saudi-telecom-company,IBM,"v2, v3",Not truly AI,Excluded
aicase-x0010,Oregon Health Authorityâ€™s Office of Information Services (OIS),Enhancing Application Observability with IBM Instana,"The Oregon Health Authorityâ€™s Office of Information Services faced critical challenges with their eXPRS payment application, essential for supporting over 30,000 individuals with disabilities. They implemented IBM Instana to achieve end-to-end application observability, reducing mean time to detect (MTTD) by 50% and mean time to resolve (MTTR) by 30%, which improved service availability and reduced downtime.",Government & Public Sector,,,IT & Platform Operations,IBM Instana ; Java EE ; IBM DB2,"
• 50% reduction in MTTD
• 30% reduction in MTTR
• 20 hours per week saved in manual effort
• 25% reduction in complaints",https://www.ibm.com/case-studies/state-of-oregon-ois,IBM,"v2, v3",Not truly AI,Excluded
